"","ethnicity","region","sex","agegrp","qualification","occupation","hours","income"
"399","Pacific People","Auckland","F",15,"None","No Occupation",0,0
"400","European","Auckland","M",25,"Bachelore or Higher","Professionals",41,977
"401","European","Wellington","F",30,"Vocational/Trade","Clerical and Administrative Workers",50,975
"402","European","Wellington","F",40,"Bachelore or Higher","Managers",30,614
"403","European","Auckland","M",15,"School","Community and Personal Service Worker",0,550
"404","European","Auckland","M",25,"Vocational/Trade","Managers",42,1404
"405","Pacific People","Wellington","F",65,"Vocational/Trade","No Occupation",0,452
"406","European","Auckland","M",55,"Vocational/Trade","Managers",40,755
"407","European","Gisborne / Hawke's Bay","M",35,"Bachelore or Higher","No Occupation",0,0
"408","European","Wellington","F",25,"Other","Community and Personal Service Worker",40,902
"409","Asian","Other","F",15,"None","No Occupation",0,0
"410","European","Nelson/Tasman/Marlborough/West Coast","M",65,"Vocational/Trade","No Occupation",0,605
"411","European","Canterbury","F",65,"None","Machinery Operators and Drivers",4,128
"412","European","Auckland","F",55,"Vocational/Trade","No Occupation",0,435
"413","European","Waikato","M",25,"None","Sales Workers",40,648
"414","European","Auckland","M",40,"Vocational/Trade","Sales Workers",40,781
"415","European","Northland","F",65,"None","No Occupation",0,158
"416","European","Northland","M",45,"None","Machinery Operators and Drivers",40,660
"417","European","Bay of Plenty","M",50,"Vocational/Trade","Machinery Operators and Drivers",48,924
"418","European","Canterbury","F",45,"Vocational/Trade","Professionals",40,863
"419","European","Gisborne / Hawke's Bay","F",65,"Other","No Occupation",0,204
"420","European","Nelson/Tasman/Marlborough/West Coast","F",65,"None","No Occupation",0,0
"421","Asian","Auckland","M",15,"None","No Occupation",0,473
"422","European","Other","F",65,"Bachelore or Higher","No Occupation",0,0
"423","European","Auckland","M",35,"Vocational/Trade","Technicians and Trade Workers",22.5,434
"424","European","Canterbury","F",55,"School","Labourers",10,136
"425","European","Manawatu-Wanganui","M",40,"Vocational/Trade","Technicians and Trade Workers",40,1326
"426","European","Canterbury","F",25,"Vocational/Trade","Clerical and Administrative Workers",14,234
"427","European","Canterbury","M",60,"School","Technicians and Trade Workers",0,811
"428","European","Auckland","M",20,"Other","No Occupation",0,0
"429","European","Other","F",45,"Vocational/Trade","Technicians and Trade Workers",12,162
"430","European","Wellington","M",55,"Bachelore or Higher","Professionals",27,1119
"431","European","Other","M",65,"Vocational/Trade","Community and Personal Service Worker",40,1482
"432","European","Waikato","M",55,"None","Sales Workers",40,863
"433","European","Gisborne / Hawke's Bay","F",40,"School","No Occupation",0,1545
"434","Maori","Taranaki","M",15,"School","No Occupation",0,0
"435","European","Waikato","M",25,"Vocational/Trade","Professionals",52.5,762
"436","European","Northland","F",60,"None","No Occupation",0,365
"437","European","Auckland","F",35,"Bachelore or Higher","Professionals",32,773
"438","Other","Other","F",30,"Other","Sales Workers",0,1363
"439","Asian","Auckland","M",45,"Bachelore or Higher","Professionals",60,5268
"440","European","Auckland","F",65,"None","No Occupation",0,234
"441","European","Bay of Plenty","M",45,"Bachelore or Higher","No Occupation",0,0
"442","Other Ethnicity","Nelson/Tasman/Marlborough/West Coast","M",35,"None","Professionals",40,1688
"443","European","Auckland","M",55,"School","Clerical and Administrative Workers",45,1932
"444","Asian","Auckland","F",20,"School","No Occupation",0,14
"445","European","Auckland","M",65,"None","No Occupation",0,273
"446","European","Auckland","M",20,"Vocational/Trade","Machinery Operators and Drivers",40,531
"447","Pacific People","Auckland","M",65,"None","No Occupation",0,432
"448","Asian","Auckland","F",20,"Vocational/Trade","Community and Personal Service Worker",25,384
"449","Asian","Auckland","M",15,"School","No Occupation",0,0
"450","Other","Nelson/Tasman/Marlborough/West Coast","M",15,"None","No Occupation",0,234
"451","Asian","Wellington","F",25,"Bachelore or Higher","Professionals",40,761
"452","European","Other","M",65,"Vocational/Trade","Managers",50,1341
"453","European","Nelson/Tasman/Marlborough/West Coast","F",65,"Vocational/Trade","No Occupation",0,360
"454","European","Auckland","M",25,"Vocational/Trade","Managers",0,1112
"455","European","Other","F",65,"None","No Occupation",0,209
"456","European","Auckland","M",20,"Vocational/Trade","Technicians and Trade Workers",40,576
"457","European","Other","F",15,"None","No Occupation",0,329
"458","European","Manawatu-Wanganui","F",65,"None","No Occupation",0,0
"459","European","Wellington","M",65,"Other","No Occupation",0,1334
"460","European","Auckland","F",55,"None","Managers",19,744
"461","European","Northland","M",65,"None","No Occupation",0,155
"462","European","Bay of Plenty","F",40,"Bachelore or Higher","Professionals",48,1270
"463","European","Other","F",60,"School","Sales Workers",30,672
"464","European","Wellington","F",35,"School","Sales Workers",4,203
"465","European","Northland","F",15,"None","No Occupation",0,0
"466","European","Northland","F",45,"None","Community and Personal Service Worker",0,328
"467","European","Other","M",25,"Vocational/Trade","Technicians and Trade Workers",0,1110
"468","European","Auckland","F",15,"School","Technicians and Trade Workers",40,638
"469","European","Canterbury","M",45,"School","Machinery Operators and Drivers",50,1253
"470","European","Wellington","M",30,"School","Clerical and Administrative Workers",16,-173
"471","European","Canterbury","M",45,"School","Labourers",0,265
"472","European","Wellington","F",65,"None","No Occupation",0,431
"473","Maori","Auckland","M",65,"School","No Occupation",0,0
"474","European","Waikato","F",50,"Vocational/Trade","No Occupation",0,370
"475","Pacific People","Auckland","M",60,"Vocational/Trade","Labourers",10,169
"476","European","Waikato","F",65,"None","Labourers",20,581
"477","European","Taranaki","M",50,"School","Sales Workers",0,1688
"478","Middle Eastern/Latin American/African","Auckland","M",65,"None","No Occupation",0,228
"479","European","Waikato","M",40,"None","Managers",0,14782
"480","European","Other","M",30,"Vocational/Trade","Technicians and Trade Workers",15,270
"481","European","Auckland","M",35,"Vocational/Trade","Technicians and Trade Workers",45,1519
"482","European","Manawatu-Wanganui","M",45,"None","Professionals",40,1266
"483","Other","Manawatu-Wanganui","F",45,"Vocational/Trade","Technicians and Trade Workers",20,403
"484","European","Gisborne / Hawke's Bay","F",30,"Vocational/Trade","Professionals",16,622
"485","European","Bay of Plenty","M",65,"School","Labourers",20.5,448
"486","Asian","Bay of Plenty","F",20,"School","Clerical and Administrative Workers",40,587
"487","European","Taranaki","M",45,"Bachelore or Higher","Professionals",45,921
"488","Maori","Auckland","M",35,"None","Managers",40,1519
"489","European","Other","F",50,"School","Managers",39,1153
"490","European","Auckland","F",60,"Other","Technicians and Trade Workers",40,960
"491","Maori","Canterbury","M",40,"Vocational/Trade","Labourers",0,428
"492","European","Canterbury","M",55,"Vocational/Trade","Technicians and Trade Workers",45,1719
"493","Maori","Northland","F",40,"None","Sales Workers",9,179
"494","European","Other","M",55,"School","Managers",40,970
"495","European","Northland","F",40,"Vocational/Trade","Professionals",40,1609
"496","European","Canterbury","F",65,"School","No Occupation",0,791
"497","Asian","Auckland","M",15,"School","Professionals",40,638
"498","European","Manawatu-Wanganui","F",55,"School","Managers",40,633
"499","European","Canterbury","F",65,"Vocational/Trade","No Occupation",0,126
"500","Maori","Bay of Plenty","M",35,"Bachelore or Higher","No Occupation",0,584
"501","Asian","Auckland","M",25,"Bachelore or Higher","No Occupation",0,256
"502","European","Waikato","F",65,"None","No Occupation",0,1160
"503","Asian","Auckland","M",30,"Bachelore or Higher","Professionals",40,907
"504","European","Gisborne / Hawke's Bay","M",55,"Vocational/Trade","Technicians and Trade Workers",37,1308
"505","European","Manawatu-Wanganui","M",40,"Vocational/Trade","Community and Personal Service Worker",50,872
"506","European","Other","F",50,"Bachelore or Higher","No Occupation",0,360
"507","European","Auckland","F",65,"None","No Occupation",0,235
"508","European","Waikato","F",35,"Vocational/Trade","Community and Personal Service Worker",0,345
"509","European","Wellington","M",60,"None","Professionals",40,1139
"510","European","Wellington","M",65,"None","No Occupation",0,331
"511","European","Auckland","M",65,"Bachelore or Higher","Managers",40,4965
"512","Maori","Auckland","F",60,"Vocational/Trade","No Occupation",0,276
"513","European","Auckland","F",45,"Bachelore or Higher","Professionals",32,889
"514","European","Auckland","F",20,"Vocational/Trade","Professionals",40,949
"515","European","Taranaki","F",60,"Vocational/Trade","Community and Personal Service Worker",37,738
"516","European","Other","F",30,"Vocational/Trade","Community and Personal Service Worker",32,581
"517","Maori","Wellington","M",30,"None","No Occupation",0,0
"518","European","Canterbury","M",55,"Bachelore or Higher","Clerical and Administrative Workers",40,720
"519","Maori","Bay of Plenty","F",15,"None","No Occupation",0,1092
"520","European","Canterbury","M",15,"School","No Occupation",0,457
"521","European","Manawatu-Wanganui","M",50,"Bachelore or Higher","Professionals",40,1267
"522","European","Waikato","F",65,"None","No Occupation",0,439
"523","European","Waikato","F",55,"Vocational/Trade","Technicians and Trade Workers",4,72
"524","European","Auckland","F",65,"None","No Occupation",0,330
"525","Maori","Other","F",40,"None","Professionals",26,312
"526","Other","Bay of Plenty","M",15,"School","Managers",50,976
"527","European","Canterbury","F",55,"School","Clerical and Administrative Workers",33.5,577
"528","European","Wellington","F",20,"School","No Occupation",0,350
"529","Pacific People","Auckland","M",20,"School","Managers",45,543
"530","Asian","Canterbury","F",25,"Bachelore or Higher","Professionals",27.5,2123
"531","Asian","Canterbury","F",25,"Bachelore or Higher","Professionals",50,1419
"532","European","Auckland","M",45,"Other","Technicians and Trade Workers",37,1829
"533","European","Auckland","M",50,"Bachelore or Higher","Technicians and Trade Workers",30,1834
"534","European","Manawatu-Wanganui","M",15,"None","No Occupation",0,0
"535","European","Canterbury","M",60,"None","No Occupation",0,463
"536","European","Northland","F",65,"None","No Occupation",0,0
"537","European","Nelson/Tasman/Marlborough/West Coast","M",50,"None","Machinery Operators and Drivers",42,1108
"538","Other","Nelson/Tasman/Marlborough/West Coast","M",35,"None","Professionals",66,600
"539","European","Manawatu-Wanganui","F",55,"Vocational/Trade","Professionals",0,422
"540","European","Auckland","M",65,"None","No Occupation",0,0
"541","European","Auckland","F",35,"Bachelore or Higher","Professionals",40,1032
"542","European","Waikato","F",25,"None","No Occupation",0,816
"543","European","Nelson/Tasman/Marlborough/West Coast","F",15,"Vocational/Trade","No Occupation",0,373
"544","Maori","Auckland","M",60,"None","Labourers",9,320
"545","European","Auckland","M",45,"School","Professionals",41.5,746
"546","European","Canterbury","M",65,"Vocational/Trade","Professionals",7.5,217
"547","European","Canterbury","F",55,"Vocational/Trade","Clerical and Administrative Workers",38.5,624
"548","European","Auckland","M",40,"Bachelore or Higher","Professionals",40,1916
"549","European","Manawatu-Wanganui","F",65,"None","No Occupation",0,444
"550","European","Canterbury","F",45,"None","Labourers",0,332
"551","European","Wellington","F",25,"Vocational/Trade","Community and Personal Service Worker",40,1882
"552","European","Canterbury","M",15,"Vocational/Trade","Managers",40,1121
"553","Pacific People","Auckland","F",20,"Vocational/Trade","Labourers",5,68
"554","European","Waikato","F",45,"Bachelore or Higher","Professionals",0,1056
"555","Asian","Wellington","M",20,"Bachelore or Higher","Professionals",30,1404
"556","European","Canterbury","M",45,"Vocational/Trade","Technicians and Trade Workers",40,1498
"557","European","Auckland","F",20,"School","Managers",60,1721
"558","European","Bay of Plenty","F",45,"Vocational/Trade","Sales Workers",40,742
"559","European","Other","F",65,"Vocational/Trade","No Occupation",0,171
"560","European","Bay of Plenty","M",20,"School","Professionals",37.5,1504
"561","European","Bay of Plenty","M",30,"Vocational/Trade","Managers",0,779
"562","European","Nelson/Tasman/Marlborough/West Coast","F",65,"Vocational/Trade","Technicians and Trade Workers",6.5,143
"563","European","Auckland","F",65,"School","Labourers",10,186
"564","European","Bay of Plenty","M",45,"Other","Professionals",62.5,412
"565","European","Other","M",20,"Vocational/Trade","Clerical and Administrative Workers",9,130
"566","European","Canterbury","F",20,"Other","Sales Workers",30,513
"567","Pacific People","Auckland","F",25,"Other","Managers",40,571
"568","European","Canterbury","F",20,"None","No Occupation",0,1960
"569","Asian","Auckland","F",55,"School","Managers",35.5,1231
"570","Maori","Manawatu-Wanganui","M",15,"None","Professionals",20,304
"571","Asian","Auckland","F",50,"Bachelore or Higher","Professionals",40,1187
"572","European","Auckland","F",50,"Vocational/Trade","Machinery Operators and Drivers",40,576
"573","European","Canterbury","F",15,"School","No Occupation",0,0
"574","European","Waikato","F",65,"None","No Occupation",0,496
"575","European","Canterbury","M",35,"School","Professionals",40,844
